alpha,beta,gamma,gamma_beta_ratio,r_d1,r_d1_std,r_d2,r_d2_std,r_d3,r_d3_std,r_d4,r_d4_std,modularity,modularity_std,edr_assort,edr_assort_std,contrast_cross,contrast_cross_std,delta_contrast,delta_contrast_std,delta_comparator,delta_comparator_std,loss,loss_std
0.2,0.003,0.006,2.0,0.6511954384859149,0.041524483496426366,0.5667626654468346,0.06489079799905477,0.41431116678091184,0.10758362013462563,-0.5613834493644774,0.0653119310013889,0.44797835610452674,0.008557269382868618,0.39785881979534665,0.037653749625726055,0.710166780773214,0.039296051583616536,0.5693809430986507,0.024333433765143294,0.1021107173176365,0.0052267039129158125,0.5531606948777794,0.08816762340894914
0.2,0.005,0.006,1.2,0.675061121082637,0.04376783562088313,0.5957600310258284,0.050038274244798696,0.42232805765444803,0.11432729171781518,-0.5869523225795809,0.06422759978378952,0.4477039973944244,0.00884747827678124,0.4187840691928879,0.037722201526691215,0.7095010750876016,0.03396846731960145,0.5772332970615311,0.022915345585759563,0.10003799890242375,0.005534250876152172,0.5667559770123302,0.07412027930294739
0.22,0.003,0.004,1.3333333333333333,0.7013001949794042,0.033494142629700234,0.6239983137502403,0.04546623826488613,0.44928858443243386,0.1030629790463421,-0.594160117838387,0.06057735626906939,0.4507675353271335,0.007578879129934861,0.44296249104859864,0.03242027149867719,0.746776159125101,0.032556289044503854,0.557967180515423,0.019604555117256922,0.10657232384123468,0.0037724627027800684,0.5708609496352468,0.10323029900937622
0.2,0.003,0.004,1.3333333333333333,0.7005883228577652,0.04462152328225142,0.6003430074890573,0.07151197621642442,0.4543651814041649,0.10758766693453592,-0.597135319977182,0.06134769184845299,0.44718090775699393,0.009409433498208565,0.43870307601214753,0.04304216623669771,0.7283598897226696,0.038086980874684526,0.5294814645133609,0.02429086317107928,0.0956838533152455,0.0039565625765202225,0.5708945310435697,0.09942823397109489
0.2,0.003,0.008,2.6666666666666665,0.5962386256405023,0.04332261533861897,0.5275684607539909,0.06766873133225652,0.38664126741223237,0.10158145497599587,-0.5201498261944731,0.06885947459060385,0.44509668845795086,0.010345161612118167,0.35622836942431474,0.03493255907826418,0.7007770719048136,0.040071298666211945,0.609689358172531,0.02787905332484874,0.10851781236208713,0.006287357666675919,0.5713870631054728,0.08420802938808651
0.22,0.003,0.006,2.0,0.648311694230712,0.04143752932255684,0.5872248324055033,0.047704634211411315,0.41852668499276524,0.10066006553017014,-0.5671960443701336,0.05656573126409504,0.44887748550886747,0.008744561638160153,0.40159191517866777,0.03287331200471875,0.7299269874775024,0.044696030143312006,0.6035031729618195,0.027115501076109334,0.11425303089466746,0.0052503069643545985,0.5727376323861546,0.07830125983205065
0.2,0.005,0.008,1.6,0.6323564088132028,0.051816329629629856,0.5652917500127167,0.051073807888881495,0.39928441562155637,0.12149984349563915,-0.5560672367329895,0.07036831188767338,0.4474743916229282,0.006836552337413802,0.3856367239817121,0.040528353210013454,0.6993228874270809,0.03608645719634416,0.6115126165947978,0.02464625477732201,0.10635080133804098,0.008161325502028928,0.5733392017900485,0.06548287798736502
0.22,0.003,0.008,2.6666666666666665,0.597203697219163,0.04850455680897567,0.5467624730178651,0.04987845959733513,0.37902731569842635,0.10029313516952774,-0.5219548976312217,0.05851668881612309,0.4452744578919102,0.008459840063232667,0.3620865063483444,0.03529217290114828,0.7282628094922867,0.04668690877777372,0.6415777140180116,0.02875282086950536,0.1214734757697479,0.007551052427599701,0.5848425745556523,0.05951534153829251
0.22,0.007,0.008,1.1428571428571428,0.6245930275423617,0.049739997648513376,0.5579178164445646,0.05348185195097948,0.39339181348499885,0.10284661253479274,-0.5395635405874641,0.06428590333904853,0.44569045224226,0.008824590841999451,0.3799533280069756,0.041068674622196426,0.7366769929068568,0.04073087399270928,0.6327954559717004,0.022125549607145863,0.11338148775692847,0.006347139700576958,0.5850234210459678,0.06843407675890445
0.2,0.005,0.004,0.8,0.7213941908192272,0.040392235188372067,0.6260847799403562,0.051813164030015776,0.4471241352126313,0.11913345837708746,-0.6177085832513359,0.058906451762877524,0.44681466134380826,0.010215476654532134,0.4556063047959573,0.03766095149294912,0.727043384751076,0.035778477261739,0.5397191819507807,0.023399745432947903,0.09303319394645096,0.0030883280259781484,0.5868635430487499,0.09428036001768092
0.22,0.007,0.006,0.8571428571428571,0.672015513049018,0.04809855926133459,0.5984565117918801,0.05184547095663397,0.42741100796952497,0.11054431450301265,-0.5764696439773218,0.059927016662544345,0.44396676145991715,0.010508581053709882,0.4183595757228991,0.04203163775669901,0.7542331124773967,0.0383556255137473,0.5956114464097196,0.020240112246410643,0.10674492984368367,0.0045641647336093615,0.5907559349539329,0.0801747521546372
0.2,0.007,0.008,1.1428571428571428,0.6423899222067522,0.04150848467787037,0.573023784027558,0.04608575061269468,0.42824293048301065,0.09576321877487957,-0.5728167440045004,0.05942412347737966,0.4463399894636574,0.00977330280934324,0.3940871044993876,0.03293658986557125,0.715378086909883,0.04704578792577203,0.6187870341342906,0.025361631784155087,0.10264830121082644,0.0067643653734115895,0.591648151411573,0.08294754062690675
0.2,0.007,0.006,0.8571428571428571,0.6870497586173842,0.03527446002692352,0.6012972981016897,0.041895827412204274,0.4542318866130512,0.09428703010756961,-0.5961259782260209,0.05813522590654047,0.44523222728825446,0.01185400086487117,0.4278140201694944,0.030717873668013766,0.7393049319386711,0.0334593476868228,0.5841512220345451,0.02100156738293482,0.09643014284479609,0.0041564114597805076,0.5947783005308911,0.08153687703513071
0.22,0.005,0.006,1.2,0.6677456679490875,0.036588743472813226,0.5802212335763622,0.05358168734743556,0.3987780695967124,0.12013932715131563,-0.5792358911878347,0.057657591547286016,0.44649217284006737,0.010089379532487522,0.4112575454815491,0.031025990360802874,0.7532787373988917,0.0450078622202952,0.6087579170615107,0.022651987093796285,0.1084620150460525,0.004292370039089588,0.598910293569743,0.06189853745284514
0.2,0.007,0.004,0.5714285714285714,0.7342374403674559,0.030852432455569408,0.6347471846400481,0.0390492368134162,0.47816766839787705,0.08517290434359748,-0.621670757764123,0.05178975390922982,0.4474330731989726,0.008524714570060472,0.46548182950652706,0.029817004112564188,0.7521695751559955,0.03482057538656933,0.5414735591980036,0.017777113641505606,0.08991438732588666,0.0036653089444720027,0.6009592301871903,0.0814809990399369
0.2,0.007,0.01,1.4285714285714286,0.5952715250997286,0.04357793301909941,0.5405846765433744,0.048153827369494716,0.4048295043982454,0.09371240086864864,-0.5381214470798905,0.06083382154105038,0.44746415813445817,0.008004025790907475,0.3597235247702785,0.03233122987278797,0.7129856939848325,0.03632388117678803,0.6446474417285413,0.020776147518187498,0.10830785698839543,0.008599390848051969,0.6010398750695944,0.06455622422306719
0.22,0.007,0.004,0.5714285714285714,0.7241487172085352,0.04440245282863944,0.6321815853780796,0.045215024475569986,0.44831918086776373,0.10386375948496272,-0.6104618882561793,0.05888379255955182,0.44625280983362653,0.007120821626240443,0.4581838180096624,0.040649257734251265,0.7719489406414889,0.037432260743397484,0.5473315899804473,0.01966109946186498,0.09875685379026586,0.0037943300036463574,0.6026380730815464,0.09883575542091146
0.2,0.005,0.01,2.0,0.5823390089445247,0.05831462559875814,0.5336952402571953,0.056504343269305035,0.3720552845022317,0.12184000975978053,-0.5235399261830513,0.07882523174396334,0.44757604150767466,0.009913728942165525,0.34932232736018765,0.043657890135565605,0.7093178118430636,0.046022983386458216,0.6397631274626947,0.03046286490936453,0.11278850911838494,0.00967421194790729,0.6125211154334281,0.08352614912556752
0.22,0.005,0.008,1.6,0.6186602725476864,0.03763839939386157,0.545037688968933,0.059760471111170964,0.3736417971442549,0.11823529497585784,-0.5514091853163892,0.06876444156747033,0.4462164235833031,0.009901311309591211,0.3745245041797208,0.029260930151768786,0.7402739667327162,0.033539088242708195,0.6415768203585974,0.022318560272450532,0.1137670608480091,0.006668984878626743,0.6153096278056042,0.06309610696987183
0.22,0.005,0.004,0.8,0.7169986912239966,0.03073765335101504,0.62000690433377,0.04867014346861622,0.42980162372285297,0.11990275064335641,-0.6104409763244576,0.059747179434944134,0.44464600983448277,0.008482041191565535,0.45088090280111254,0.030249547474044385,0.7841978625348505,0.04089700164535787,0.56777066803757,0.02201608390982604,0.101895800864287,0.0036667784792351068,0.6226399837732464,0.08903180611033586
0.22,0.007,0.01,1.4285714285714286,0.5772431940531909,0.05343827850221503,0.5253380234434267,0.057966526000044816,0.36163601916293203,0.1152075711352235,-0.5042928756567744,0.07481268711306542,0.4461831205037174,0.007887805984587559,0.3453463938509838,0.042439388677616596,0.7430776423126464,0.033333599406571254,0.668824784506607,0.02307605429901596,0.11747197562451331,0.009051320068517844,0.6281185957102119,0.06590242997896524
0.25,0.003,0.006,2.0,0.6552396048899343,0.04168942716809345,0.5794342513662757,0.06711697264297681,0.41392613018538305,0.12760052978743447,-0.5680708007646793,0.06245943260372299,0.44640295027392896,0.008263637688346601,0.40356673711908,0.03746533855660687,0.7823668456298818,0.035608076774136424,0.6469687361839171,0.01964761250200496,0.1252305974354685,0.005719500338017571,0.6390358259630522,0.09078158005040288
0.25,0.003,0.004,1.3333333333333333,0.7045756542979758,0.042348893315505245,0.6161761573963345,0.06626668304541623,0.44511023785702114,0.13333761884422018,-0.5990333118857457,0.06538923990470925,0.4428646031222911,0.008056070157632303,0.4424620587417706,0.04116513232964067,0.7919505472314002,0.043924604732481866,0.5934254684747926,0.023086821454033693,0.11731508197934315,0.004243809617341462,0.6443058968560164,0.11861490881701377
0.2,0.003,0.01,3.3333333333333335,0.5391322981451111,0.05006652735644288,0.49602684915525874,0.06634920021345067,0.36263272504729693,0.11117381157848256,-0.4928721662829437,0.0671670927165878,0.44801901998402627,0.008515750168732576,0.31618974728924254,0.03629890686341452,0.7213950080517411,0.036969365376867735,0.6528555829870307,0.02529262045561903,0.11627487034558073,0.00616996454604712,0.6490275925765678,0.09812869860320121
0.22,0.003,0.01,3.3333333333333335,0.5464817760122821,0.054111966381602684,0.5136573655372902,0.05291320063539446,0.347940304580236,0.09881279604075288,-0.49148033772754046,0.06624669098049737,0.4481188022673258,0.011664730172875773,0.32606795256548554,0.03779636933963103,0.7550027834518441,0.030696188740715512,0.6759985809045881,0.023731878876752387,0.12974332122545307,0.01014294659294381,0.652382710217246,0.05936580068497422
0.25,0.003,0.008,2.6666666666666665,0.6037367130903348,0.04729552788519348,0.541918407045716,0.07209756814891354,0.3837544801051742,0.12092206994115315,-0.5264987113734716,0.07405578622708589,0.44372624061221916,0.008896815744953823,0.36385501125755637,0.038754251308035254,0.7771755378085276,0.03990409330721514,0.6864849852788245,0.023378377314053247,0.13218774592045066,0.008343457350144225,0.6577968735139869,0.07917423255294616
0.25,0.005,0.006,1.2,0.6547164984073415,0.03836564223003746,0.5896828746881556,0.05846897687490166,0.39530230200959887,0.12255277890135528,-0.5769443194991553,0.05856486998211154,0.4449205068041545,0.006810938737012275,0.40372062247478296,0.03746459613499393,0.8060119295533184,0.0450617861187949,0.6505089403165667,0.025871881670307396,0.1220867425004919,0.005813022610276632,0.6636004497797026,0.07864016615579439
