country,iso3,iso_A,iso_D,iso_E,iso_EDR,iso_I,iso_L,iso_P,iso_R,iso_S,iso_SAP,pol_autoc,pol_democ,pol_parcomp,pol_xconst,pol_xrcomp,pol_xropen,system,vdem_v2clfmove,vdem_v2clrspct,vdem_v2cseeorgs,vdem_v2csreprss,vdem_v2exrescon,vdem_v2jucomp,vdem_v2jucorrdc,vdem_v2lgbicam,vdem_v2x_delibdem,vdem_v2x_egaldem,vdem_v2x_libdem,vdem_v2x_partipdem,vdem_v2x_polyarchy,year
Norway,NOR,0.75,0.9,0.9,0.8666666666666667,0.9,0.75,0.65,0.8,0.15,0.5166666666666667,,,,,,,Norwegian Sovereign Wealth Democracy,0.827,0.911,0.858125,0.799625,0.7951250000000001,0.85175,0.9453750000000001,0.625,0.877,0.861,0.871,0.653,0.904,2015
Estonia,EST,0.95,0.85,0.85,0.8166666666666668,0.95,0.55,0.45,0.75,0.15,0.5166666666666666,,,,,,,Estonian Digital Democracy,0.802,0.914875,0.87025,0.876375,0.830875,0.72775,0.8086249999999999,0.625,0.81,0.795,0.845,0.633,0.894,2015
Switzerland,CHE,0.65,0.9,0.85,0.85,0.8,0.65,0.55,0.8,0.15,0.45,,,,,,,Swiss Consensus Democracy,0.78025,0.887625,0.811625,0.867375,0.8612500000000001,0.8385,0.857125,0.75,0.853,0.82,0.836,0.784,0.889,2000
Germany,DEU,0.9,0.55,0.7,0.6,0.85,0.7,0.55,0.55,0.3,0.5833333333333334,,,,,,,European Union Governance,0.840875,0.99875,0.628125,0.869375,0.836375,0.705625,0.828625,0.75,0.867,0.836,0.862,0.652,0.898,2010
United Kingdom,GBR,0.75,0.85,0.8,0.7833333333333332,0.9,0.75,0.75,0.7,0.2,0.5666666666666667,,,,,,,British Parliamentary System,0.75725,0.815,0.74125,0.7755000000000001,0.708,0.697125,0.773625,0.75,0.691,0.67,0.742,0.572,0.816,1990
Netherlands,NLD,0.7,0.6,0.6,0.5833333333333334,0.75,0.75,0.65,0.55,0.3,0.5499999999999999,,,,,,,Dutch Republic States-General,0.38425,0.1765,0.40775,0.18512499999999998,0.271625,0.37925,0.3785,0.5,,,0.078,0.136,0.128,1800
Russia,RUS,0.9,0.05,0.05,0.06,0.85,0.85,0.55,0.08,0.9,0.7833333333333333,,,,,,,Soviet Republics System,0.22225,0.348375,0.112875,0.33575,0.323,0.2645,0.736125,0.75,0.075,0.223,0.028,0.065,0.107,1980
Singapore,SGP,0.85,0.2,0.65,0.35000000000000003,0.9,0.8,0.3,0.2,0.75,0.6333333333333334,,,,,,,Singaporean Technocracy,0.713375,0.8785000000000001,0.4415,0.535375,0.723375,0.792625,0.8202499999999999,0.625,0.309,0.346,0.309,0.101,0.378,2000
Japan,JPN,0.85,0.15,0.2,0.18333333333333335,0.85,0.75,0.45,0.2,0.75,0.6833333333333335,,,,,,,Meiji Oligarchy,0.56425,0.7815,0.500875,0.4385,0.819625,0.602375,0.69625,0.75,0.147,0.164,0.196,0.065,0.171,1900
France,FRA,0.9,0.05,0.1,0.06666666666666667,0.8,0.8,0.4,0.05,0.9,0.7333333333333334,,,,,,,Napoleonic Meritocracy,0.5075,0.596875,0.4085,0.2825,0.643125,0.469,0.8195,0.75,,,0.103,0.055,0.118,1810
Turkey,TUR,0.8,0.2,0.25,0.3,0.8,0.8,0.6,0.45,0.8,0.7333333333333334,,,,,,,Ottoman Empire,0.38525,0.326125,0.183,0.35362499999999997,0.173,0.29212499999999997,0.387625,0.5,0.004,0.053,0.035,0.008,0.009,1900
Austria,AUT,0.65,0.4,0.4,0.4000000000000001,0.65,0.65,0.55,0.4,0.55,0.5833333333333334,,,,,,,Habsburg Composite Monarchy,0.536,0.652625,0.51025,0.627375,0.701375,0.567125,0.775875,0.75,,,0.235,0.202,0.252,1900
China,CHN,0.9,0.0,0.05,0.016666666666666666,0.8,0.9,0.1,0.0,0.95,0.65,,,,,,,Qin Legalism,0.3615,0.3195,0.351125,0.341625,0.52075,0.344125,0.50925,0.5,0.072,0.09,0.059,0.036,0.121,1949
China,CHN,0.95,0.15,0.1,0.11666666666666665,0.9,0.9,0.5,0.1,0.8,0.75,,,,,,,Confucian Bureaucracy,0.405375,0.21037499999999998,0.6105,0.362,0.313125,0.27725,0.235875,0.5,,,0.013,0.013,0.035,1850
Italy,ITA,0.65,0.5,0.4,0.43333333333333335,0.65,0.7,0.7,0.4,0.45,0.6,,,,,,,Roman Republic,0.68275,0.656875,0.47825,0.280125,0.772875,0.489375,0.56875,0.75,,,0.22,0.103,0.271,1870
Iceland,ISL,0.75,0.85,0.8,0.7999999999999999,0.85,0.4,0.6,0.75,0.2,0.5166666666666666,,,,,,,Althingi Carbon-Neutral Parliament,0.7577499999999999,0.7711250000000001,0.78775,0.8668750000000001,0.720125,0.764,0.928125,0.625,0.693,0.794,0.777,0.638,0.861,2015
South Korea,KOR,0.85,0.15,0.15,0.15,0.85,0.8,0.5,0.15,0.75,0.7000000000000001,,,,,,,Joseon Confucian Bureaucracy,0.12774999999999997,0.493625,0.407625,0.375875,0.18175000000000002,0.357375,0.497,0.5,,,0.016,0.011,0.015,1870
Ukraine,UKR,0.3,0.65,0.65,0.6166666666666667,0.25,0.45,0.65,0.55,0.5,0.4833333333333334,,,,,,,Cossack Hetmanate,0.653875,0.440875,0.61075,0.628,0.4305,0.34425,0.307375,0.625,0.317,0.33,0.264,0.282,0.484,2010
